"","Variable","Estimate","PValue"
"1","BL_block_num","0.00804882955362649","0.956818809847943"
"2","BL_collat","0","NaN"
"3","BL_reg_num","0.0987351623938523","0.491523849046554"
"4","BL_kakira","0.150597054224923","0.32414464484591"
"5","BL_wives_num","0.0265795125505327","0.0556859913211734"
"6","BL_age_pay_rec","0.571976537617861","0.212007302562048"
"7","BL_age_pay_rec_oth1","1.14193788004349","0.63779512127373"
"8","BL_age_pay_rec_oth2","-4.82443729903537","0.567392830762209"
"9","BL_age_pay_rec_oth3","0.46236559139785","0.935576579890764"
"10","BL_gender_pay_rec","-0.00259522085263023","0.638286588925849"
"11","BL_gender_pay_rec_oth1","-0.0306311130532842","0.598279587916079"
"12","BL_gender_pay_rec_oth2","0.571704180064308","0.0474323477959628"
"13","BL_gender_pay_rec_oth3","0.161290322580645","0.749336286813412"
"14","BL_crop_name_1","0.0958664745912091","0.715497708238487"
"15","BL_crop_name_2","-0.542089136074732","0.0337776732432901"
"16","BL_crop_name_3","-0.127539952481677","0.67609755745969"
"17","BL_crop_name_4","0.165046583531264","0.669305067886144"
"18","BL_crop_harv_quant_1","-16.506691383889","0.490736254073631"
"19","BL_crop_harv_quant_2","5.36140487102794","0.684782042430076"
"20","BL_crop_harv_quant_3","-2.84954753146895","0.786339082199631"
"21","BL_crop_harv_quant_4","11.9927270761156","0.146355252956305"
"22","BL_crop_sold_quant_1","-2404.38564122761","0.285382172710373"
"23","BL_crop_sold_quant_2","-551.640793020826","0.658370607502385"
"24","BL_crop_sold_quant_3","-70.8994346331452","0.356193479539765"
"25","BL_crop_sold_quant_4","54.8045859010842","0.23921678089943"
"26","BL_crop_value_1","61557.6479018292","0.40405073861949"
"27","BL_crop_value_2","18531.3332572534","0.842962364680894"
"28","BL_crop_value_3","-9980.46056729972","0.833702991149345"
"29","BL_crop_value_4","11177.5753646403","0.907950140630484"
"30","BL_crop_dec_resp_1","0.0391235767713908","0.0570442175670605"
"31","BL_crop_dec_resp_2","0.0387912604892386","0.0491252683274695"
"32","BL_crop_dec_resp_3","0.0322159701041855","0.108260570585422"
"33","BL_crop_dec_resp_4","0.0380158009894444","0.0874232307783451"
"34","BL_crop_sales_resp_1","0.0261357865343721","0.204244038689523"
"35","BL_crop_sales_resp_2","0.0317231659107109","0.119805274505252"
"36","BL_crop_sales_resp_3","0.0204497380334277","0.321111159987023"
"37","BL_crop_sales_resp_4","0.0169990972049623","0.461924625046348"
"38","BL_spend_child","-950.997309184968","0.888463515454747"
"39","BL_spend_female","-1775.35620182254","0.719086512066438"
"40","BL_spend_female","-1775.35620182254","0.719086512066438"
"41","BL_spend_oth","-1925.01107377989","0.477313067390877"
"42","BL_spend_total","-4440.67555410161","0.705516928962995"
"43","BL_tribe_h","0.557946757745987","0.323020889777011"
"44","BL_tribe_w","0.724322694353996","0.25738408275688"
"45","BL_religion_h","-0.190919569758411","0.447659496484788"
"46","BL_religion_w","0.0925197106368753","0.625916032114769"
"47","BL_read_self_h","-0.0279279894553602","0.0462161946800529"
"48","BL_read_self_w","0.0014141361971933","0.817507576392089"
"49","BL_write_self_h","-0.0330375131326207","0.0190092660333432"
"50","BL_write_self_w","-0.00352974500572297","0.292524883314602"
"51","BL_edu_comp_self_h","-0.0633233789222297","0.897770284400049"
"52","BL_edu_comp_self_w","0.664163976814675","0.0931885343040228"
"53","BL_block_pay","58869.2175377466","0.324977465450449"
"54","BL_block_pay_1","24496.3274602728","0.738588452370128"
"55","BL_block_pay_2","29155.3358714241","0.629019580669958"
"56","BL_block_pay_3","105171.263686272","0.0545213918039619"
"57","BL_block_pay_4","18046.9506535699","0.78948806748246"
