"","Variable","PValue"
"1","BL_block_num","0.149"
"2","BL_collat","1"
"3","BL_reg_num","0.409"
"4","BL_kakira","0.437"
"5","BL_wives_num","0.687"
"6","BL_age_pay_rec","0.583"
"7","BL_age_pay_rec_oth1","0.915"
"8","BL_age_pay_rec_oth2","0.21"
"9","BL_age_pay_rec_oth3","0.547"
"10","BL_gender_pay_rec","0.678"
"11","BL_gender_pay_rec_oth1","0.77"
"12","BL_gender_pay_rec_oth2","0.063"
"13","BL_gender_pay_rec_oth3","1"
"14","BL_crop_name_1","0.452"
"15","BL_crop_name_2","0.004"
"16","BL_crop_name_3","0.61"
"17","BL_crop_name_4","0.354"
"18","BL_crop_harv_quant_1","0.512"
"19","BL_crop_harv_quant_2","0.451"
"20","BL_crop_harv_quant_3","0.167"
"21","BL_crop_harv_quant_4","0.557"
"22","BL_crop_sold_quant_1","0.434"
"23","BL_crop_sold_quant_2","0.493"
"24","BL_crop_sold_quant_3","0.908"
"25","BL_crop_sold_quant_4","0.117"
"26","BL_crop_value_1","0.888"
"27","BL_crop_value_2","0.293"
"28","BL_crop_value_3","0.69"
"29","BL_crop_value_4","0.434"
"30","BL_crop_dec_resp_1","0.058"
"31","BL_crop_dec_resp_2","0.065"
"32","BL_crop_dec_resp_3","0.09"
"33","BL_crop_dec_resp_4","0.105"
"34","BL_crop_sales_resp_1","0.205"
"35","BL_crop_sales_resp_2","0.178"
"36","BL_crop_sales_resp_3","0.417"
"37","BL_crop_sales_resp_4","0.605"
"38","BL_spend_child","0.397"
"39","BL_spend_female","0.496"
"40","BL_spend_female","0.495"
"41","BL_spend_oth","0.254"
"42","BL_spend_total","0.532"
"43","BL_tribe_h","0.257"
"44","BL_tribe_w","0.595"
"45","BL_religion_h","0.162"
"46","BL_religion_w","0.432"
"47","BL_read_self_h","0.042"
"48","BL_read_self_w","0.953"
"49","BL_write_self_h","0.017"
"50","BL_write_self_w","0.839"
"51","BL_edu_comp_self_h","0.553"
"52","BL_edu_comp_self_w","0.243"
"53","BL_block_pay","0.836"
"54","BL_block_pay_1","0.536"
"55","BL_block_pay_2","0.826"
"56","BL_block_pay_3","0.61"
"57","BL_block_pay_4","0.644"
"58","BL_block_pay_5","0.081"
"59","BL_block_pay_6","0.886"
"60","BL_block_area_1","0.503"
"61","BL_block_area_2","0.383"
"62","BL_block_area_3","0.137"
"63","BL_block_area_4","0.247"
"64","BL_block_area_5","0.732"
"65","BL_block_area_6","0.882"
"66","BL_reg_hold","0.779"
"67","BL_reg_hold_1","0.83"
"68","BL_reg_hold_2","0.03"
"69","BL_reg_hold_3","0.344"
"70","BL_reg_hold_4","0.216"
"71","BL_reg_hold_5","1"
"72","BL_reg_hold_6","1"
"73","BL_reg_yr","0.618"
"74","BL_reg_yr_1","0.177"
"75","BL_reg_yr_2","0.621"
"76","BL_reg_yr_3","0.839"
"77","BL_reg_yr_4","0.027"
"78","BL_reg_yr_5","0.912"
"79","BL_reg_yr_6","0.615"
"80","BL_harv_next_yr_1","0.616"
"81","BL_harv_next_yr_2","0.861"
"82","BL_harv_next_yr_3","0.88"
"83","BL_harv_next_yr_4","0.212"
"84","BL_harv_next_yr_5","0.123"
"85","BL_harv_next_yr_6","0.149"
"86","BL_inputs","0.313"
"87","BL_prep","0.995"
"88","BL_prep_credit","0.716"
"89","BL_fert","0.821"
"90","BL_pest","0.741"
"91","BL_water","0.205"
"92","BL_labor","0.785"
"93","BL_trans","0.316"
"94","BL_cash","0.018"
"95","BL_harv","0.493"
"96","BL_harv_sell_quant","0.117"
"97","BL_price","0.341"
"98","BL_net","0.765"
"99","BL_pay_cash","0.228"
"100","BL_pay_prim","0.33"
"101","BL_lab_sug_mth_h","0.688"
"102","BL_lab_sug_mth_w","0.279"
"103","BL_sug_day_h","0.39"
"104","BL_sug_day_w","0.015"
"105","BL_sug_hr_h","0.686"
"106","BL_sug_hr_w","0.52"
"107","BL_non_day_h","0.044"
"108","BL_non_day_w","0.939"
"109","BL_non_hr_h","0.345"
"110","BL_non_hr_w","0.391"
"111","BL_wage_h","0.709"
"112","BL_wage_w","0.26"
"113","BL_farm_wage_earn_h","0.827"
"114","BL_farm_wage_earn_w","0.649"
"115","BL_nonfarm_wage_earn_h","0.711"
"116","BL_nonfarm_wage_earn_w","0.458"
"117","BL_prod_day_housework_h","0.758"
"118","BL_prod_day_waterwood_h","0.826"
"119","BL_prod_day_leisure_h","0.845"
